            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
          0.40375       0.00221875                0          -181146         -30084.2         -2626.26
          0.40375        0.0044375                0          -125903          -102892          700.912
          0.40375       0.00665625                0         -89278.5          -110362          6962.12
          0.40375         0.008875                0         -16445.2          -101968         -4347.36
          0.40375        0.0110937                0          17391.7         -86301.2          905.852
          0.40375        0.0133125                0          45225.3         -73157.5         -1831.53
          0.40375        0.0155312                0          50885.3         -57187.5          44.0331
          0.40375          0.01775                0        0.0312033       -0.0404594       -0.0335556
         0.404875                0                0          -107971          14006.6          2058.84
         0.404875       0.00235937                0          -140776         -21109.2         -3492.87
         0.404875       0.00471875                0         -89319.1           -86278          4979.99
         0.404875       0.00707812                0         -51114.4         -83256.5          3309.74
         0.404875        0.0094375                0           5228.8         -73278.8           911.45
         0.404875        0.0117969                0          28694.5         -63309.1         -709.862
         0.404875        0.0141563                0          48389.9           -57398          849.253
         0.404875        0.0165156                0          58089.8         -50982.1         -41.0071
         0.404875         0.018875                0          81877.7         -64527.1          557.704
            0.406                0                0           -82626          9147.87          2690.85
            0.406           0.0025                0         -91195.6         -17767.6         -2542.26
            0.406            0.005                0         -53325.7         -60940.9          2633.14
            0.406           0.0075                0         -12951.1         -56151.6          -342.56
            0.406             0.01                0          13387.1         -56129.5          1601.83
            0.406           0.0125                0          36623.1         -52069.1         -398.607
            0.406            0.015                0          56223.9         -47791.6          405.317
            0.406           0.0175                0          70627.4         -47625.2         -281.626
            0.406             0.02                0           102061         -71741.5          1113.14
         0.392738                0                0     -1.56078e+06          4709.89         -2800.01
         0.392738        0.0013007                0     -1.56212e+06          -137273          -422.68
         0.392738       0.00260139                0     -1.55144e+06          -290849         -2489.15
         0.392738       0.00390209                0     -1.55307e+06          -458357         -1680.85
         0.392738       0.00520278                0     -1.55012e+06          -638624          3744.33
         0.392738       0.00650348                0     -1.53072e+06          -895226         -5862.09
         0.392738       0.00780417                0      -1.4867e+06     -1.21871e+06          3284.55
         0.392738       0.00910487                0     -1.50213e+06     -1.68218e+06          16020.5
         0.392738        0.0104056                0     -1.57112e+06     -2.70887e+06         -2517.14
         0.393271                0                0     -1.44556e+06             6317         -1723.71
         0.393267        0.0012225                0      -1.4485e+06          -121732          132.408
         0.393263       0.00245866                0      -1.4396e+06          -263838         -203.537
         0.393259       0.00370871                0     -1.40565e+06          -426070         -1359.03
         0.393255       0.00497287                0     -1.40399e+06          -601423          3923.81
          0.39325        0.0062514                0     -1.36733e+06          -823402          -2246.6
         0.393246       0.00754454                0     -1.27787e+06     -1.12079e+06           444.82
         0.393242       0.00885253                0     -1.19005e+06     -1.55969e+06          10222.2
         0.393238        0.0101756                0     -1.08865e+06      -2.3285e+06         -2254.82
         0.393803                0                0     -1.32998e+06          4634.85          -264.16
         0.393802        0.0011688                0     -1.33327e+06          -109423          540.342
           0.3938       0.00236016                0     -1.32914e+06          -244164          1087.21
         0.393798       0.00357474                0     -1.28549e+06          -400879          244.242
         0.393796       0.00481322                0     -1.24875e+06          -569043          3626.87
         0.393795       0.00607633                0     -1.19515e+06          -763555          1449.42
         0.393793       0.00736479                0      -1.0811e+06     -1.03676e+06          4489.54
         0.393791       0.00867939                0          -866691     -1.41128e+06         -5548.26
         0.393789        0.0100209                0          -553227     -1.96915e+06         -1417.18
         0.394336                0                0      -1.2144e+06          2952.73          1195.39
          0.39434       0.00114013                0     -1.21697e+06          -102542          1322.32
         0.394345        0.0023079                0     -1.21574e+06          -229660          2343.17
         0.394349       0.00350433                0      -1.1708e+06          -385210          2584.25
         0.394354       0.00473049                0     -1.12007e+06          -542096          3051.82
         0.394358        0.0059875                0     -1.02173e+06          -715097          3021.35
         0.394363       0.00727654                0          -913440          -916418          6720.22
         0.394368       0.00859886                0          -663374     -1.21249e+06           -11167
         0.394373       0.00995574                0          -134359     -1.62584e+06         -885.406
         0.394869                0                0     -1.10944e+06         -2497.98          2884.88
          0.39488       0.00113681                0     -1.09985e+06          -103940          2800.98
         0.394892       0.00230307                0      -1.0996e+06          -220447          3537.42
         0.394904       0.00349994                0     -1.05233e+06          -376338          4516.73
         0.394916       0.00472863                0          -991603          -494028         -5942.69
         0.394929       0.00599044                0          -888830          -670088         -5476.34
         0.394942       0.00728672                0          -726164          -837000         -2935.79
         0.394955       0.00861891                0          -466752     -1.07008e+06         -13091.8
         0.394969       0.00998851                0          33374.1     -1.26261e+06         -1726.35
         0.395402                0                0     -1.00994e+06         -9886.92          4692.53
         0.395419       0.00115893                0          -996784          -112543          4574.59
         0.395436       0.00234595                0          -982919          -217469           4261.8
         0.395454       0.00356211                0          -924900          -338748         -1056.95
         0.395472       0.00480849                0          -863761          -462210         -6471.25
         0.395491       0.00608623                0          -749722          -639713         -13609.7
          0.39551       0.00739652                0          -547763          -764893         -8778.73
          0.39553       0.00874063                0          -230472          -896464         -2074.43
          0.39555        0.0101199                0           232129          -920492         -2381.71
         0.395934                0                0          -910234         -17167.9          6404.88
         0.395953       0.00120631                0          -893427          -119983          4097.08
         0.395972        0.0024359                0          -885838          -214417          4088.58
         0.395992       0.00368945                0          -815334          -330256          594.498
         0.396011       0.00496768                0          -740246          -442291         -1757.64
         0.396032       0.00627132                0          -607226          -589554         -5662.61
         0.396052       0.00760113                0          -400473          -704091         -958.664
         0.396073       0.00895792                0          -107860          -734738          329.537
         0.396094        0.0103425                0           250022          -682570          -1604.3
         0.396467                0                0          -805549           -16620          4103.44
         0.396481       0.00127854                0          -810117          -112310          4062.55
         0.396495       0.00257137                0          -788531          -215309          3948.26
         0.396509       0.00387871                0          -715662          -335859          456.153
         0.396523       0.00520082                0          -630656          -429894          3725.52
         0.396538       0.00653796                0          -483670          -542596         -1783.87
         0.396552       0.00789037                0          -314760          -640853          7465.13
         0.396567       0.00925832                0         -35991.8          -611660         -3648.34
         0.396582        0.0106421                0           239788          -473357          -175.52
            0.397                0                0          -721083         -3400.13          4070.87
            0.397         0.001375                0          -728348          -106678           4027.8
            0.397          0.00275                0          -691654          -220901          3519.99
            0.397         0.004125                0          -620478          -324420          8244.24
            0.397           0.0055                0          -549236          -413174           7825.6
            0.397         0.006875                0          -393790          -498794         -4893.38
            0.397          0.00825                0          -231367          -565813          2956.87
            0.397         0.009625                0          41880.1          -491595         -5559.33
            0.397            0.011                0           247559          -280317          1548.82
            0.406             0.02                0        0.0363526      -0.00464176        0.0297145
            0.406          0.02125                0        0.0276674       0.00419356        0.0313512
            0.406           0.0225                0        0.0189821        0.0130289        0.0329878
            0.406          0.02375                0      -0.00449104         0.020305        0.0352097
            0.406            0.025                0       -0.0575401        0.0244627        0.0386022
            0.406          0.02625                0        -0.110589        0.0286204        0.0419946
            0.406           0.0275                0        -0.137276       -0.0217992       0.00666296
            0.406          0.02875                0        -0.150781       -0.0995075       -0.0480309
            0.406             0.03                0        -0.164287        -0.177216        -0.102725
          0.40725             0.02                0           114317         -411.327          66.6119
          0.40725          0.02125                0           115369          65.6472          19.5635
          0.40725           0.0225                0           117338          2814.72         -57.2643
          0.40725          0.02375                0           120874          9358.55          -65.804
          0.40725            0.025                0           133399           9317.6           84.546
          0.40725          0.02625                0           145651          17316.7          560.514
          0.40725           0.0275                0           163736          38409.4          12.9146
          0.40725          0.02875                0           228537          53890.2         -1937.45
          0.40725             0.03                0           167678      1.41931e+06         -2428.63
           0.4085             0.02                0           108688         -822.654           11.803
           0.4085          0.02125                0           110747          2148.91         -67.9408
           0.4085           0.0225                0           114278           8774.7         -195.579
           0.4085          0.02375                0           117766          15385.8         -201.568
           0.4085            0.025                0           125078          24081.5          243.275
           0.4085          0.02625                0           134778          39962.5          384.669
           0.4085           0.0275                0           143460          55309.2          127.958
           0.4085          0.02875                0           150810          91005.2          1080.14
           0.4085             0.03                0           151797      1.18986e+06         -924.087
          0.40975             0.02                0           103121         -301.999          67.3616
          0.40975          0.02125                0           104658          5544.54          195.683
          0.40975           0.0225                0           107309          11425.4          184.803
          0.40975          0.02375                0           110005          17270.1          42.0118
          0.40975            0.025                0           109734          25931.7          431.203
          0.40975          0.02625                0           112085          43107.2          167.848
          0.40975           0.0275                0           118941          58775.7         -186.346
          0.40975          0.02875                0           119146          86199.3         -367.815
          0.40975             0.03                0           107166      1.08066e+06          31.3109
            0.411             0.02                0          97793.8          926.409          237.912
            0.411          0.02125                0          97987.1          6655.63          277.602
            0.411           0.0225                0            98733          12395.6          227.081
            0.411          0.02375                0          99575.7          18049.3         -231.356
            0.411            0.025                0            97115          24249.8          147.594
            0.411          0.02625                0          97891.4            42386         -119.631
            0.411           0.0275                0          94072.4            59992         -131.131
            0.411          0.02875                0          91208.5          82083.6         -141.908
            0.411             0.03                0          83196.3           999175          340.871
          0.41225             0.02                0          92513.2          2350.69          15.0178
          0.41225          0.02125                0          92744.3           6876.2         -243.063
          0.41225           0.0225                0          93247.9          11478.2          60.1984
          0.41225          0.02375                0          89238.3          18185.2         -314.238
          0.41225            0.025                0          85241.8          23963.3         -14.8103
          0.41225          0.02625                0          83255.7          40086.2         -324.859
          0.41225           0.0275                0          74507.4          54121.2         -29.2672
          0.41225          0.02875                0          65847.1          75903.6         -303.368
          0.41225             0.03                0          53994.4           914395          141.407
           0.4135             0.02                0          90326.4          2207.99          24.8171
           0.4135          0.02125                0          88288.9          5095.36          170.889
           0.4135           0.0225                0          87314.6          9623.81         -125.566
           0.4135          0.02375                0          81976.7          16233.9         -90.5892
           0.4135            0.025                0          76828.8          21855.7         -2.04244
           0.4135          0.02625                0          65031.3          31011.1         -54.4467
           0.4135           0.0275                0            55413          45808.2          115.808
           0.4135          0.02875                0            42822          63872.9            154.8
           0.4135             0.03                0          23064.7           845667         -1448.89
          0.41475             0.02                0          90234.5          1334.24          70.7464
          0.41475          0.02125                0          87932.7          4114.62          157.195
          0.41475           0.0225                0          83451.9          3827.99          275.811
          0.41475          0.02375                0          79282.5          8791.79          201.023
          0.41475            0.025                0          69496.8          11628.2           20.449
          0.41475          0.02625                0          57319.7          12826.8          -196.81
          0.41475           0.0275                0          38647.3          27830.4            363.3
          0.41475          0.02875                0          4496.74          38592.3          669.747
          0.41475             0.03                0         -1293.58           697284         -717.052
            0.416             0.02                0          37696.4            63713          1068.15
